"BTK.Open" "BTK.High" "BTK.Low" "BTK.Close" "BTK.Volume" "BTK.Adjusted"
"2003-07-22" NA NA NA NA NA NA
"2003-07-23" 464.299988 464.299988 464.299988 464.299988 0 464.299988
"2003-07-24" 456.619995 456.619995 456.619995 456.619995 0 456.619995
"2003-07-25" NA NA NA NA NA NA
"2003-07-28" 467.049988 467.049988 467.049988 467.049988 0 467.049988
"2003-07-29" NA NA NA NA NA NA
"2003-07-30" NA NA NA NA NA NA
"2003-07-31" 463.459991 463.459991 463.459991 463.459991 0 463.459991
"2003-08-01" NA NA NA NA NA NA
"2003-08-04" NA NA NA NA NA NA
"2003-08-05" NA NA NA NA NA NA
"2003-08-06" NA NA NA NA NA NA
"2003-08-07" 427.329987 427.329987 427.329987 427.329987 0 427.329987
"2003-08-08" 424.23999 424.23999 424.23999 424.23999 0 424.23999
"2003-08-11" 431.869995 431.869995 431.869995 431.869995 0 431.869995
"2003-08-12" 445.390015 445.390015 445.390015 445.390015 0 445.390015
"2003-08-13" 439.660004 439.660004 439.660004 439.660004 0 439.660004
"2003-08-14" NA NA NA NA NA NA
"2003-08-15" 436.799988 436.799988 436.799988 436.799988 0 436.799988
"2003-08-18" 446.269989 446.269989 446.269989 446.269989 0 446.269989
"2003-08-19" 447 447 447 447 0 447
"2003-08-20" NA NA NA NA NA NA
"2003-08-21" 455.5 455.5 455.5 455.5 0 455.5
"2003-08-22" 445.119995 445.119995 445.119995 445.119995 0 445.119995
"2003-08-25" NA NA NA NA NA NA
"2003-08-26" NA NA NA NA NA NA
"2003-08-27" NA NA NA NA NA NA
"2003-08-28" 452.119995 452.119995 452.119995 452.119995 0 452.119995
"2003-08-29" 454.279999 454.279999 454.279999 454.279999 0 454.279999
"2003-09-02" 465.160004 465.160004 465.160004 465.160004 0 465.160004
"2003-09-03" NA NA NA NA NA NA
"2003-09-04" 470.880005 470.880005 470.880005 470.880005 0 470.880005
"2003-09-05" 471.399994 471.399994 471.399994 471.399994 0 471.399994
"2003-09-08" NA NA NA NA NA NA
"2003-09-09" NA NA NA NA NA NA
"2003-09-10" 474.779999 474.779999 474.779999 474.779999 0 474.779999
"2003-09-11" NA NA NA NA NA NA
"2003-09-12" NA NA NA NA NA NA
"2003-09-15" 481.440002 481.440002 481.440002 481.440002 0 481.440002
"2003-09-16" NA NA NA NA NA NA
"2003-09-17" 487.190002 487.190002 487.190002 487.190002 0 487.190002
"2003-09-18" 494.299988 494.299988 494.299988 494.299988 0 494.299988
"2003-09-19" 496.170013 496.170013 496.170013 496.170013 0 496.170013
"2003-09-22" 484.369995 484.369995 484.369995 484.369995 0 484.369995
"2003-09-23" NA NA NA NA NA NA
"2003-09-24" NA NA NA NA NA NA
"2003-09-25" NA NA NA NA NA NA
"2003-09-26" 450.179993 450.179993 450.179993 450.179993 0 450.179993
"2003-09-29" NA NA NA NA NA NA
"2003-09-30" 453.450012 453.450012 453.450012 453.450012 0 453.450012
"2003-10-01" 455.290009 455.290009 455.290009 455.290009 0 455.290009
"2003-10-02" NA NA NA NA NA NA
"2003-10-03" NA NA NA NA NA NA
"2003-10-06" NA NA NA NA NA NA
"2003-10-07" NA NA NA NA NA NA
"2003-10-08" 468.049988 468.049988 468.049988 468.049988 0 468.049988
"2003-10-09" NA NA NA NA NA NA
"2003-10-10" 473.829987 473.829987 473.829987 473.829987 0 473.829987
"2003-10-13" NA NA NA NA NA NA
"2003-10-14" 481.730011 481.730011 481.730011 481.730011 0 481.730011
"2003-10-15" 471.359985 471.359985 471.359985 471.359985 0 471.359985
"2003-10-16" NA NA NA NA NA NA
"2003-10-17" NA NA NA NA NA NA
"2003-10-20" 456.149994 456.149994 456.149994 456.149994 0 456.149994
