"BTK.Open" "BTK.High" "BTK.Low" "BTK.Close" "BTK.Volume" "BTK.Adjusted"
"2004-11-01" NA NA NA NA NA NA
"2004-11-02" NA NA NA NA NA NA
"2004-11-03" 525.700012 525.700012 525.700012 525.700012 0 525.700012
"2004-11-04" 527.47998 527.47998 527.47998 527.47998 0 527.47998
"2004-11-05" 536.26001 536.26001 536.26001 536.26001 0 536.26001
"2004-11-08" NA NA NA NA NA NA
"2004-11-09" 532.52002 532.52002 532.52002 532.52002 0 532.52002
"2004-11-10" NA NA NA NA NA NA
"2004-11-11" NA NA NA NA NA NA
"2004-11-12" NA NA NA NA NA NA
"2004-11-15" NA NA NA NA NA NA
"2004-11-16" 524.130005 524.130005 524.130005 524.130005 0 524.130005
