"SPY.Open" "SPY.High" "SPY.Low" "SPY.Close" "SPY.Volume" "SPY.Adjusted"
"2014-05-22" 189.179993 189.979996 188.860001 189.589996 61549000 171.704788
"2014-05-23" 189.759995 190.479996 189.589996 190.350006 61092800 172.393112
"2014-05-27" 191.059998 191.580002 190.949997 191.520004 72010000 173.452682
"2014-05-28" 191.520004 191.820007 191.059998 191.380005 66723000 173.325912
"2014-05-29" 191.820007 192.399994 191.330002 192.369995 64377000 174.222534
"2014-05-30" 192.190002 192.800003 192.029999 192.679993 76316000 174.503281
"2014-06-02" 192.949997 192.990005 191.970001 192.899994 64656000 174.702545
"2014-06-03" 192.429993 192.899994 192.25 192.800003 65047000 174.611954
"2014-06-04" 192.470001 193.300003 192.270004 193.190002 55529000 174.965164
"2014-06-05" 193.410004 194.649994 192.699997 194.449997 92103000 176.106277
"2014-06-06" 194.869995 195.429993 194.779999 195.380005 78696000 176.948563
"2014-06-09" 195.350006 196.050003 195.169998 195.580002 65119000 177.12973
"2014-06-10" 195.339996 195.639999 194.919998 195.600006 57129000 177.147797
"2014-06-11" 194.899994 195.119995 194.479996 194.919998 68772000 176.531906
"2014-06-12" 194.690002 194.800003 193.110001 193.539993 106350000 175.282135
"2014-06-13" 193.919998 194.320007 193.300003 194.130005 82017000 175.816513
"2014-06-16" 193.889999 194.699997 193.660004 194.289993 87424000 175.961349
"2014-06-17" 194.020004 194.970001 193.809998 194.830002 84834000 176.450424
"2014-06-18" 194.830002 196.369995 194.399994 196.259995 105267000 177.745529
"2014-06-19" 196.429993 196.600006 195.800003 196.479996 85929000 177.944763
"2014-06-20" 196.029999 196.100006 195.699997 195.940002 100587000 178.305786
"2014-06-23" 195.990005 196.050003 195.520004 195.880005 70611000 178.25119
"2014-06-24" 195.529999 196.5 194.479996 194.699997 96237000 177.177353
"2014-06-25" 194.289993 195.779999 194.25 195.580002 82782000 177.97821
"2014-06-26" 195.610001 195.630005 194.130005 195.440002 84312000 177.850784
"2014-06-27" 194.979996 195.880005 194.889999 195.820007 71445100 178.196579
"2014-06-30" 195.699997 196.169998 195.529999 195.720001 70201200 178.105576
"2014-07-01" 196.199997 197.630005 196.130005 197.029999 90470000 179.297668
"2014-07-02" 197.050003 197.479996 196.960007 197.229996 52475000 179.47966
"2014-07-03" 197.789993 198.289993 197.639999 198.199997 52938800 180.36235
"2014-07-07" 197.820007 197.979996 197.220001 197.509995 61696000 179.734497
"2014-07-08" 197.149994 197.220001 195.759995 196.240005 108143000 178.578766
"2014-07-09" 196.729996 197.300003 196.309998 197.119995 72992000 179.379578
"2014-07-10" 195.220001 196.860001 195.059998 196.339996 99040000 178.669769
"2014-07-11" 196.220001 196.75 195.779999 196.610001 64243000 178.915512
"2014-07-14" 197.610001 197.860001 197.440002 197.600006 58658000 179.816391
"2014-07-15" 197.720001 198.100006 196.360001 197.229996 111307000 179.47966
"2014-07-16" 198.110001 198.259995 197.419998 197.960007 79986400 180.143967
