"price.open" "price.high" "price.low" "price.close" "volume" "adjusted" "ref.date" "ticker"
"448" NA NA NA NA NA NA 2005-09-22 "NBI"
"449" NA NA NA NA NA NA 2005-09-23 "NBI"
"450" NA NA NA NA NA NA 2005-09-26 "NBI"
"451" NA NA NA NA NA NA 2005-09-27 "NBI"
"452" NA NA NA NA NA NA 2005-09-28 "NBI"
"453" NA NA NA NA NA NA 2005-09-29 "NBI"
"454" NA NA NA NA NA NA 2005-09-30 "NBI"
"455" NA NA NA NA NA NA 2005-10-03 "NBI"
"456" 791.5 791.5 791.5 791.5 0 791.5 2005-10-04 "NBI"
"457" NA NA NA NA NA NA 2005-10-05 "NBI"
"458" NA NA NA NA NA NA 2005-10-06 "NBI"
"459" NA NA NA NA NA NA 2005-10-07 "NBI"
"460" NA NA NA NA NA NA 2005-10-10 "NBI"
"461" NA NA NA NA NA NA 2005-10-11 "NBI"
"462" 719.140015 719.140015 719.140015 719.140015 0 719.140015 2005-10-12 "NBI"
"463" NA NA NA NA NA NA 2005-10-13 "NBI"
"464" NA NA NA NA NA NA 2005-10-14 "NBI"
"465" NA NA NA NA NA NA 2005-10-17 "NBI"
"466" NA NA NA NA NA NA 2005-10-18 "NBI"
"467" NA NA NA NA NA NA 2005-10-19 "NBI"
"468" NA NA NA NA NA NA 2005-10-20 "NBI"
"469" NA NA NA NA NA NA 2005-10-21 "NBI"
"470" NA NA NA NA NA NA 2005-10-24 "NBI"
"471" NA NA NA NA NA NA 2005-10-25 "NBI"
"472" NA NA NA NA NA NA 2005-10-26 "NBI"
"473" NA NA NA NA NA NA 2005-10-27 "NBI"
"474" NA NA NA NA NA NA 2005-10-28 "NBI"
"475" NA NA NA NA NA NA 2005-10-31 "NBI"
"476" NA NA NA NA NA NA 2005-11-01 "NBI"
"477" NA NA NA NA NA NA 2005-11-02 "NBI"
"478" NA NA NA NA NA NA 2005-11-03 "NBI"
"479" NA NA NA NA NA NA 2005-11-04 "NBI"
"480" NA NA NA NA NA NA 2005-11-07 "NBI"
"481" NA NA NA NA NA NA 2005-11-08 "NBI"
"482" NA NA NA NA NA NA 2005-11-09 "NBI"
"483" NA NA NA NA NA NA 2005-11-10 "NBI"
"484" NA NA NA NA NA NA 2005-11-11 "NBI"
"485" NA NA NA NA NA NA 2005-11-14 "NBI"
"486" NA NA NA NA NA NA 2005-11-15 "NBI"
"487" NA NA NA NA NA NA 2005-11-16 "NBI"
"488" NA NA NA NA NA NA 2005-11-17 "NBI"
"489" NA NA NA NA NA NA 2005-11-18 "NBI"
"490" NA NA NA NA NA NA 2005-11-21 "NBI"
"491" NA NA NA NA NA NA 2005-11-22 "NBI"
"492" NA NA NA NA NA NA 2005-11-23 "NBI"
"493" NA NA NA NA NA NA 2005-11-25 "NBI"
"494" NA NA NA NA NA NA 2005-11-28 "NBI"
"495" 780.48999 780.48999 780.48999 780.48999 0 780.48999 2005-11-29 "NBI"
"496" NA NA NA NA NA NA 2005-11-30 "NBI"
"497" NA NA NA NA NA NA 2005-12-01 "NBI"
"498" NA NA NA NA NA NA 2005-12-02 "NBI"
"499" NA NA NA NA NA NA 2005-12-05 "NBI"
"500" NA NA NA NA NA NA 2005-12-06 "NBI"
"501" NA NA NA NA NA NA 2005-12-07 "NBI"
"502" 785.830017 785.830017 785.830017 785.830017 0 785.830017 2005-12-08 "NBI"
"503" NA NA NA NA NA NA 2005-12-09 "NBI"
"504" NA NA NA NA NA NA 2005-12-12 "NBI"
"505" NA NA NA NA NA NA 2005-12-13 "NBI"
"506" 781.030029 781.030029 781.030029 781.030029 0 781.030029 2005-12-14 "NBI"
"507" NA NA NA NA NA NA 2005-12-15 "NBI"
"508" 784.049988 784.049988 784.049988 784.049988 0 784.049988 2005-12-16 "NBI"
"509" NA NA NA NA NA NA 2005-12-19 "NBI"
"510" NA NA NA NA NA NA 2005-12-20 "NBI"
"511" NA NA NA NA NA NA 2005-12-21 "NBI"
"512" NA NA NA NA NA NA 2005-12-22 "NBI"
"513" NA NA NA NA NA NA 2005-12-23 "NBI"
"514" NA NA NA NA NA NA 2005-12-27 "NBI"
"515" NA NA NA NA NA NA 2005-12-28 "NBI"
"516" NA NA NA NA NA NA 2005-12-29 "NBI"
"517" NA NA NA NA NA NA 2005-12-30 "NBI"
"518" NA NA NA NA NA NA 2006-01-03 "NBI"
"519" NA NA NA NA NA NA 2006-01-04 "NBI"
"520" NA NA NA NA NA NA 2006-01-05 "NBI"
"521" NA NA NA NA NA NA 2006-01-06 "NBI"
"522" NA NA NA NA NA NA 2006-01-09 "NBI"
"523" NA NA NA NA NA NA 2006-01-10 "NBI"
"524" NA NA NA NA NA NA 2006-01-11 "NBI"
"525" NA NA NA NA NA NA 2006-01-12 "NBI"
"526" NA NA NA NA NA NA 2006-01-13 "NBI"
"527" NA NA NA NA NA NA 2006-01-17 "NBI"
"528" NA NA NA NA NA NA 2006-01-18 "NBI"
"529" NA NA NA NA NA NA 2006-01-19 "NBI"
"530" NA NA NA NA NA NA 2006-01-20 "NBI"
"531" NA NA NA NA NA NA 2006-01-23 "NBI"
"532" NA NA NA NA NA NA 2006-01-24 "NBI"
"533" NA NA NA NA NA NA 2006-01-25 "NBI"
"534" NA NA NA NA NA NA 2006-01-26 "NBI"
"535" NA NA NA NA NA NA 2006-01-27 "NBI"
"536" NA NA NA NA NA NA 2006-01-30 "NBI"
"537" NA NA NA NA NA NA 2006-01-31 "NBI"
"538" NA NA NA NA NA NA 2006-02-01 "NBI"
"539" NA NA NA NA NA NA 2006-02-02 "NBI"
"540" NA NA NA NA NA NA 2006-02-03 "NBI"
"541" NA NA NA NA NA NA 2006-02-06 "NBI"
"542" NA NA NA NA NA NA 2006-02-07 "NBI"
"543" NA NA NA NA NA NA 2006-02-08 "NBI"
"544" NA NA NA NA NA NA 2006-02-09 "NBI"
"545" NA NA NA NA NA NA 2006-02-10 "NBI"
"546" NA NA NA NA NA NA 2006-02-13 "NBI"
"547" NA NA NA NA NA NA 2006-02-14 "NBI"
"548" NA NA NA NA NA NA 2006-02-15 "NBI"
"549" NA NA NA NA NA NA 2006-02-16 "NBI"
"550" NA NA NA NA NA NA 2006-02-17 "NBI"
"551" 834.619995 834.619995 834.619995 834.619995 0 834.619995 2006-02-21 "NBI"
"552" NA NA NA NA NA NA 2006-02-22 "NBI"
"553" NA NA NA NA NA NA 2006-02-23 "NBI"
"554" NA NA NA NA NA NA 2006-02-24 "NBI"
"555" NA NA NA NA NA NA 2006-02-27 "NBI"
"556" NA NA NA NA NA NA 2006-02-28 "NBI"
"557" NA NA NA NA NA NA 2006-03-01 "NBI"
"558" NA NA NA NA NA NA 2006-03-02 "NBI"
"559" NA NA NA NA NA NA 2006-03-03 "NBI"
"560" NA NA NA NA NA NA 2006-03-06 "NBI"
"561" 842.409973 842.409973 842.409973 842.409973 0 842.409973 2006-03-07 "NBI"
"562" NA NA NA NA NA NA 2006-03-08 "NBI"
"563" 841.570007 841.570007 841.570007 841.570007 0 841.570007 2006-03-09 "NBI"
"564" NA NA NA NA NA NA 2006-03-10 "NBI"
"565" NA NA NA NA NA NA 2006-03-13 "NBI"
"566" NA NA NA NA NA NA 2006-03-14 "NBI"
"567" 857.919983 857.919983 857.919983 857.919983 0 857.919983 2006-03-15 "NBI"
"568" NA NA NA NA NA NA 2006-03-16 "NBI"
"569" NA NA NA NA NA NA 2006-03-17 "NBI"
"570" NA NA NA NA NA NA 2006-03-20 "NBI"
"571" NA NA NA NA NA NA 2006-03-21 "NBI"
"572" NA NA NA NA NA NA 2006-03-22 "NBI"
"573" NA NA NA NA NA NA 2006-03-23 "NBI"
"574" NA NA NA NA NA NA 2006-03-24 "NBI"
"575" NA NA NA NA NA NA 2006-03-27 "NBI"
"576" NA NA NA NA NA NA 2006-03-28 "NBI"
"577" NA NA NA NA NA NA 2006-03-29 "NBI"
"578" NA NA NA NA NA NA 2006-03-30 "NBI"
"579" NA NA NA NA NA NA 2006-03-31 "NBI"
"580" NA NA NA NA NA NA 2006-04-03 "NBI"
"581" 830.51001 830.51001 830.51001 830.51001 0 830.51001 2006-04-04 "NBI"
"582" NA NA NA NA NA NA 2006-04-05 "NBI"
"583" NA NA NA NA NA NA 2006-04-06 "NBI"
"584" NA NA NA NA NA NA 2006-04-07 "NBI"
"585" NA NA NA NA NA NA 2006-04-10 "NBI"
"586" NA NA NA NA NA NA 2006-04-11 "NBI"
"587" NA NA NA NA NA NA 2006-04-12 "NBI"
"588" NA NA NA NA NA NA 2006-04-13 "NBI"
"589" NA NA NA NA NA NA 2006-04-17 "NBI"
"590" NA NA NA NA NA NA 2006-04-18 "NBI"
"591" NA NA NA NA NA NA 2006-04-19 "NBI"
"592" NA NA NA NA NA NA 2006-04-20 "NBI"
"593" NA NA NA NA NA NA 2006-04-21 "NBI"
"594" NA NA NA NA NA NA 2006-04-24 "NBI"
"595" NA NA NA NA NA NA 2006-04-25 "NBI"
"596" 780.419983 780.419983 780.419983 780.419983 0 780.419983 2006-04-26 "NBI"
"597" NA NA NA NA NA NA 2006-04-27 "NBI"
"598" NA NA NA NA NA NA 2006-04-28 "NBI"
"599" NA NA NA NA NA NA 2006-05-01 "NBI"
"600" NA NA NA NA NA NA 2006-05-02 "NBI"
"601" NA NA NA NA NA NA 2006-05-03 "NBI"
"602" NA NA NA NA NA NA 2006-05-04 "NBI"
"603" NA NA NA NA NA NA 2006-05-05 "NBI"
"604" NA NA NA NA NA NA 2006-05-08 "NBI"
"605" NA NA NA NA NA NA 2006-05-09 "NBI"
"606" 779.210022 779.210022 779.210022 779.210022 0 779.210022 2006-05-10 "NBI"
"607" NA NA NA NA NA NA 2006-05-11 "NBI"
"608" NA NA NA NA NA NA 2006-05-12 "NBI"
"609" NA NA NA NA NA NA 2006-05-15 "NBI"
"610" NA NA NA NA NA NA 2006-05-16 "NBI"
"611" NA NA NA NA NA NA 2006-05-17 "NBI"
"612" NA NA NA NA NA NA 2006-05-18 "NBI"
"613" NA NA NA NA NA NA 2006-05-19 "NBI"
"614" NA NA NA NA NA NA 2006-05-22 "NBI"
"615" NA NA NA NA NA NA 2006-05-23 "NBI"
"616" NA NA NA NA NA NA 2006-05-24 "NBI"
"617" NA NA NA NA NA NA 2006-05-25 "NBI"
"618" NA NA NA NA NA NA 2006-05-26 "NBI"
"619" NA NA NA NA NA NA 2006-05-30 "NBI"
"620" NA NA NA NA NA NA 2006-05-31 "NBI"
"621" NA NA NA NA NA NA 2006-06-01 "NBI"
"622" NA NA NA NA NA NA 2006-06-02 "NBI"
"623" NA NA NA NA NA NA 2006-06-05 "NBI"
"624" NA NA NA NA NA NA 2006-06-06 "NBI"
"625" NA NA NA NA NA NA 2006-06-07 "NBI"
"626" NA NA NA NA NA NA 2006-06-08 "NBI"
"627" NA NA NA NA NA NA 2006-06-09 "NBI"
"628" NA NA NA NA NA NA 2006-06-12 "NBI"
"629" NA NA NA NA NA NA 2006-06-13 "NBI"
"630" NA NA NA NA NA NA 2006-06-14 "NBI"
"631" NA NA NA NA NA NA 2006-06-15 "NBI"
"632" NA NA NA NA NA NA 2006-06-16 "NBI"
"633" NA NA NA NA NA NA 2006-06-19 "NBI"
"634" NA NA NA NA NA NA 2006-06-20 "NBI"
"635" NA NA NA NA NA NA 2006-06-21 "NBI"
"636" 714.460022 714.460022 714.460022 714.460022 0 714.460022 2006-06-22 "NBI"
"637" NA NA NA NA NA NA 2006-06-23 "NBI"
"638" NA NA NA NA NA NA 2006-06-26 "NBI"
"639" NA NA NA NA NA NA 2006-06-27 "NBI"
"640" NA NA NA NA NA NA 2006-06-28 "NBI"
"641" NA NA NA NA NA NA 2006-06-29 "NBI"
"642" 742.869995 742.869995 742.869995 742.869995 0 742.869995 2006-06-30 "NBI"
"643" NA NA NA NA NA NA 2006-07-03 "NBI"
"644" NA NA NA NA NA NA 2006-07-05 "NBI"
"645" NA NA NA NA NA NA 2006-07-06 "NBI"
"646" NA NA NA NA NA NA 2006-07-07 "NBI"
"647" NA NA NA NA NA NA 2006-07-10 "NBI"
"648" NA NA NA NA NA NA 2006-07-11 "NBI"
"649" NA NA NA NA NA NA 2006-07-12 "NBI"
"650" 715.820007 715.820007 715.820007 715.820007 0 715.820007 2006-07-13 "NBI"
"651" NA NA NA NA NA NA 2006-07-14 "NBI"
"652" NA NA NA NA NA NA 2006-07-17 "NBI"
"653" NA NA NA NA NA NA 2006-07-18 "NBI"
"654" NA NA NA NA NA NA 2006-07-19 "NBI"
"655" NA NA NA NA NA NA 2006-07-20 "NBI"
"656" NA NA NA NA NA NA 2006-07-21 "NBI"
"657" NA NA NA NA NA NA 2006-07-24 "NBI"
"658" NA NA NA NA NA NA 2006-07-25 "NBI"
"659" NA NA NA NA NA NA 2006-07-26 "NBI"
"660" NA NA NA NA NA NA 2006-07-27 "NBI"
"661" NA NA NA NA NA NA 2006-07-28 "NBI"
"662" NA NA NA NA NA NA 2006-07-31 "NBI"
"663" NA NA NA NA NA NA 2006-08-01 "NBI"
"664" NA NA NA NA NA NA 2006-08-02 "NBI"
"665" NA NA NA NA NA NA 2006-08-03 "NBI"
"666" NA NA NA NA NA NA 2006-08-04 "NBI"
"667" NA NA NA NA NA NA 2006-08-07 "NBI"
"668" NA NA NA NA NA NA 2006-08-08 "NBI"
"669" NA NA NA NA NA NA 2006-08-09 "NBI"
"670" NA NA NA NA NA NA 2006-08-10 "NBI"
"671" NA NA NA NA NA NA 2006-08-11 "NBI"
"672" NA NA NA NA NA NA 2006-08-14 "NBI"
"673" NA NA NA NA NA NA 2006-08-15 "NBI"
"674" NA NA NA NA NA NA 2006-08-16 "NBI"
"675" NA NA NA NA NA NA 2006-08-17 "NBI"
"676" NA NA NA NA NA NA 2006-08-18 "NBI"
"677" NA NA NA NA NA NA 2006-08-21 "NBI"
"678" NA NA NA NA NA NA 2006-08-22 "NBI"
"679" NA NA NA NA NA NA 2006-08-23 "NBI"
"680" NA NA NA NA NA NA 2006-08-24 "NBI"
"681" NA NA NA NA NA NA 2006-08-25 "NBI"
"682" NA NA NA NA NA NA 2006-08-28 "NBI"
"683" NA NA NA NA NA NA 2006-08-29 "NBI"
"684" NA NA NA NA NA NA 2006-08-30 "NBI"
"685" NA NA NA NA NA NA 2006-08-31 "NBI"
"686" NA NA NA NA NA NA 2006-09-01 "NBI"
"687" NA NA NA NA NA NA 2006-09-05 "NBI"
"688" 739.679993 739.679993 739.679993 739.679993 0 739.679993 2006-09-06 "NBI"
"689" NA NA NA NA NA NA 2006-09-07 "NBI"
"690" NA NA NA NA NA NA 2006-09-08 "NBI"
"691" NA NA NA NA NA NA 2006-09-11 "NBI"
"692" NA NA NA NA NA NA 2006-09-12 "NBI"
"693" NA NA NA NA NA NA 2006-09-13 "NBI"
"694" NA NA NA NA NA NA 2006-09-14 "NBI"
"695" NA NA NA NA NA NA 2006-09-15 "NBI"
"696" NA NA NA NA NA NA 2006-09-18 "NBI"
"697" NA NA NA NA NA NA 2006-09-19 "NBI"
"698" NA NA NA NA NA NA 2006-09-20 "NBI"
"699" NA NA NA NA NA NA 2006-09-21 "NBI"
"700" NA NA NA NA NA NA 2006-09-22 "NBI"
"701" NA NA NA NA NA NA 2006-09-25 "NBI"
"702" NA NA NA NA NA NA 2006-09-26 "NBI"
"703" NA NA NA NA NA NA 2006-09-27 "NBI"
"704" NA NA NA NA NA NA 2006-09-28 "NBI"
"705" NA NA NA NA NA NA 2006-09-29 "NBI"
"706" NA NA NA NA NA NA 2006-10-02 "NBI"
"707" NA NA NA NA NA NA 2006-10-03 "NBI"
"708" NA NA NA NA NA NA 2006-10-04 "NBI"
"709" NA NA NA NA NA NA 2006-10-05 "NBI"
"710" NA NA NA NA NA NA 2006-10-06 "NBI"
"711" 786.619995 786.619995 786.619995 786.619995 0 786.619995 2006-10-09 "NBI"
"712" NA NA NA NA NA NA 2006-10-10 "NBI"
"713" NA NA NA NA NA NA 2006-10-11 "NBI"
"714" NA NA NA NA NA NA 2006-10-12 "NBI"
"715" NA NA NA NA NA NA 2006-10-13 "NBI"
"716" NA NA NA NA NA NA 2006-10-16 "NBI"
"717" NA NA NA NA NA NA 2006-10-17 "NBI"
"718" NA NA NA NA NA NA 2006-10-18 "NBI"
"719" NA NA NA NA NA NA 2006-10-19 "NBI"
"720" NA NA NA NA NA NA 2006-10-20 "NBI"
"721" NA NA NA NA NA NA 2006-10-23 "NBI"
"722" NA NA NA NA NA NA 2006-10-24 "NBI"
"723" NA NA NA NA NA NA 2006-10-25 "NBI"
"724" NA NA NA NA NA NA 2006-10-26 "NBI"
"725" 809.849976 809.849976 809.849976 809.849976 0 809.849976 2006-10-27 "NBI"
"726" NA NA NA NA NA NA 2006-10-30 "NBI"
"727" NA NA NA NA NA NA 2006-10-31 "NBI"
